,Address,Price,Sq Ft,Number of Bedrooms,Number of Bathrooms
0,"0 Gateway, Rock Springs, WY 82901","$725,000 ",,,
1,"1003 Winchester Blvd., Rock Springs, WY 82901","$452,900 ",,4,4
2,"600 Talladega, Rock Springs, WY 82901","$396,900 ","3,154",5,3
3,"3239 Spearhead Way, Rock Springs, WY 82901","$389,900 ","3,076",4,3
4,"522 Emerald Street, Rock Springs, WY 82901","$254,000 ","1,172",3,3
5,"1302 Veteran's Drive, Rock Springs, WY 82901","$252,900 ","1,932",4,2
6,"1021 Cypress Cir, Rock Springs, WY 82901","$210,000 ","1,676",4,3
7,"913 Madison Dr, Rock Springs, WY 82901","$209,000 ","1,344",3,2
8,"1344 Teton Street, Rock Springs, WY 82901","$199,900 ","1,920",3,2
9,"4 Minnies Lane, Rock Springs, WY 82901","$196,900 ","1,664",3,2
